"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5206","Verify product images count","chromium","2026-07-23","passed","2026-07-23","","productpage.spec.ts","",""
"","3901","Verify search with product - macbook and MacBook Air","chromium","2026-07-23","passed","2026-07-23","","searchpage.spec.ts","",""
"","3726","Verify search with product - imac and iMac","chromium","2026-07-23","passed","2026-07-23","","searchpage.spec.ts","",""
"","2334","TC9","chromium","2026-07-23","passed","2026-07-23","Serial Tests","loginpagefix.spec.ts","",""
"","3752","@sanity Registration test with csv - John Doe58","chromium","2026-07-23","passed","2026-07-23","","registration.spec.ts","",""
"","5160","Verify product information","chromium","2026-07-23","passed","2026-07-23","","productpage.spec.ts","",""
"","4799","Verify user is able to land on Product page imac and iMac","chromium","2026-07-23","passed","2026-07-23","","searchpage.spec.ts","",""
"","2","Home page title test","chromium","2026-07-23","skipped","2026-07-23","","homepage.spec.ts","",""
"","2437","Forgot Password link visibility test","chromium","2026-07-23","passed","2026-07-23","","loginpage.spec.ts","",""
"","2912","@sanity Invalid login test with - abc@gmail.com and 13234","chromium","2026-07-23","passed","2026-07-23","","loginpagefix.spec.ts","",""
"","3688","Verify search with product - macbook and MacBook Pro","chromium","2026-07-23","passed","2026-07-23","","searchpage.spec.ts","",""
"","3356","Company logo exist or not","chromium","2026-07-23","passed","2026-07-23","","productpage.spec.ts","",""
"","3535","@sanity Registration test with csv - John Doe60","chromium","2026-07-23","passed","2026-07-23","","registration.spec.ts","",""
"","2250","Login page title test","chromium","2026-07-23","passed","2026-07-23","","loginpage.spec.ts","",""
"","3097","Logout link visibility test","chromium","2026-07-23","passed","2026-07-23","","homepagefix.spec.ts","",""
"","4811","Verify user is able to land on Product page macbook and MacBook Air","chromium","2026-07-23","passed","2026-07-23","","searchpage.spec.ts","",""
"","3223","Footers exist or not","chromium","2026-07-23","passed","2026-07-23","","productpage.spec.ts","",""
"","2947","@sanity Invalid login test with - and 32423","chromium","2026-07-23","passed","2026-07-23","","loginpagefix.spec.ts","",""
"","2922","Headers count test","chromium","2026-07-23","passed","2026-07-23","","homepage.spec.ts","",""
"","2447","Forgot Password link visibility test","chromium","2026-07-23","passed","2026-07-23","","loginpagefix.spec.ts","",""
"","2859","@sanity Invalid login test with - xyz@gmail.com and","chromium","2026-07-23","passed","2026-07-23","","loginpagefix.spec.ts","",""
"","3214","@smoke do login into web application test","chromium","2026-07-23","passed","2026-07-23","","loginpagefix.spec.ts","",""
"","4650","Verify user is able to land on Product page macbook and MacBook Pro","chromium","2026-07-23","passed","2026-07-23","","searchpage.spec.ts","",""
"","6579","Verify add to cart functionality","chromium","2026-07-23","passed","2026-07-23","","productpage.spec.ts","",""
"","3571","@sanity Registration test with csv - John Doe59","chromium","2026-07-23","passed","2026-07-23","","registration.spec.ts","",""
"","3262","Logout link visibility test","chromium","2026-07-23","passed","2026-07-23","","homepage.spec.ts","",""
"","2332","TC10","chromium","2026-07-23","passed","2026-07-23","Serial Tests","loginpagefix.spec.ts","",""
"","3062","Registration page title test","chromium","2026-07-23","passed","2026-07-23","","registration.spec.ts","",""
"","3308","@smoke Headers count test","chromium","2026-07-23","passed","2026-07-23","","homepagefix.spec.ts","",""
"","6915","Verify the checkout of selected product","chromium","2026-07-23","passed","2026-07-23","","checkout.spec.ts","",""
"","3344","Home page title test","chromium","2026-07-23","passed","2026-07-23","","homepagefix.spec.ts","",""
"","1","do login into web application test","chromium","2026-07-23","skipped","2026-07-23","","loginpage.spec.ts","",""
"","2310","Login page title test","chromium","2026-07-23","passed","2026-07-23","","loginpagefix.spec.ts","",""
