"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3821","Verify user is able to land on Product page macbook and MacBook Pro","chromium","2026-08-06","passed","2026-08-06","","searchpage.spec.ts","",""
"","2828","@sanity Registration test with csv - John Doe59","chromium","2026-08-06","passed","2026-08-06","","registration.spec.ts","",""
"","2391","Footers exist or not","chromium","2026-08-06","passed","2026-08-06","","productpage.spec.ts","",""
"","2717","Logout link visibility test","chromium","2026-08-06","passed","2026-08-06","","homepagefix.spec.ts","",""
"","3811","Verify user is able to land on Product page macbook and MacBook Air","chromium","2026-08-06","passed","2026-08-06","","searchpage.spec.ts","",""
"","3805","Verify product images count","chromium","2026-08-06","passed","2026-08-06","","productpage.spec.ts","",""
"","1904","TC9","chromium","2026-08-06","passed","2026-08-06","Serial Tests","loginpagefix.spec.ts","",""
"","2612","Home page title test","chromium","2026-08-06","passed","2026-08-06","","homepagefix.spec.ts","",""
"","1797","Login page title test","chromium","2026-08-06","passed","2026-08-06","","loginpagefix.spec.ts","",""
"","2385","@sanity Invalid login test with - xyz@gmail.com and","chromium","2026-08-06","passed","2026-08-06","","loginpagefix.spec.ts","",""
"","2","Home page title test","chromium","2026-08-06","skipped","2026-08-06","","homepage.spec.ts","",""
"","2601","@smoke do login into web application test","chromium","2026-08-06","passed","2026-08-06","","loginpagefix.spec.ts","",""
"","5625","Verify the checkout of selected product","chromium","2026-08-06","passed","2026-08-06","","checkout.spec.ts","",""
"","2877","@sanity Registration test with csv - John Doe60","chromium","2026-08-06","passed","2026-08-06","","registration.spec.ts","",""
"","2979","Verify search with product - imac and iMac","chromium","2026-08-06","passed","2026-08-06","","searchpage.spec.ts","",""
"","2630","@smoke Headers count test","chromium","2026-08-06","passed","2026-08-06","","homepagefix.spec.ts","",""
"","4191","Verify add to cart functionality","chromium","2026-08-06","passed","2026-08-06","","productpage.spec.ts","",""
"","2209","@sanity Invalid login test with - abc@gmail.com and 13234","chromium","2026-08-06","passed","2026-08-06","","loginpagefix.spec.ts","",""
"","2228","@sanity Invalid login test with - and 32423","chromium","2026-08-06","passed","2026-08-06","","loginpagefix.spec.ts","",""
"","2382","Registration page title test","chromium","2026-08-06","passed","2026-08-06","","registration.spec.ts","",""
"","2996","Verify search with product - macbook and MacBook Pro","chromium","2026-08-06","passed","2026-08-06","","searchpage.spec.ts","",""
"","3756","Verify user is able to land on Product page imac and iMac","chromium","2026-08-06","passed","2026-08-06","","searchpage.spec.ts","",""
"","1896","Forgot Password link visibility test","chromium","2026-08-06","passed","2026-08-06","","loginpagefix.spec.ts","",""
"","3843","Verify product information","chromium","2026-08-06","passed","2026-08-06","","productpage.spec.ts","",""
"","2765","@sanity Registration test with csv - John Doe58","chromium","2026-08-06","passed","2026-08-06","","registration.spec.ts","",""
"","2569","Company logo exist or not","chromium","2026-08-06","passed","2026-08-06","","productpage.spec.ts","",""
"","2884","Logout link visibility test","chromium","2026-08-06","passed","2026-08-06","","homepage.spec.ts","",""
"","2552","Headers count test","chromium","2026-08-06","passed","2026-08-06","","homepage.spec.ts","",""
"","0","do login into web application test","chromium","2026-08-06","skipped","2026-08-06","","loginpage.spec.ts","",""
"","1853","Forgot Password link visibility test","chromium","2026-08-06","passed","2026-08-06","","loginpage.spec.ts","",""
"","1832","Login page title test","chromium","2026-08-06","passed","2026-08-06","","loginpage.spec.ts","",""
"","2849","Verify search with product - macbook and MacBook Air","chromium","2026-08-06","passed","2026-08-06","","searchpage.spec.ts","",""
"","1922","TC10","chromium","2026-08-06","passed","2026-08-06","Serial Tests","loginpagefix.spec.ts","",""
