"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3709","Verify product images count","chromium","2026-08-30","passed","2026-08-30","","productpage.spec.ts","",""
"","2642","Logout link visibility test","chromium","2026-08-30","passed","2026-08-30","","homepage.spec.ts","",""
"","3218","@sanity Registration test with csv - John Doe58","chromium","2026-08-30","passed","2026-08-30","","registration.spec.ts","",""
"","2588","Headers count test","chromium","2026-08-30","passed","2026-08-30","","homepage.spec.ts","",""
"","2243","@sanity Invalid login test with - xyz@gmail.com and","chromium","2026-08-30","passed","2026-08-30","","loginpagefix.spec.ts","",""
"","2598","@smoke do login into web application test","chromium","2026-08-30","passed","2026-08-30","","loginpagefix.spec.ts","",""
"","1775","TC9","chromium","2026-08-30","passed","2026-08-30","Serial Tests","loginpagefix.spec.ts","",""
"","2343","Registration page title test","chromium","2026-08-30","passed","2026-08-30","","registration.spec.ts","",""
"","3784","Verify user is able to land on Product page macbook and MacBook Pro","chromium","2026-08-30","passed","2026-08-30","","searchpage.spec.ts","",""
"","2460","Home page title test","chromium","2026-08-30","passed","2026-08-30","","homepagefix.spec.ts","",""
"","2387","@smoke Headers count test","chromium","2026-08-30","passed","2026-08-30","","homepagefix.spec.ts","",""
"","5607","Verify the checkout of selected product","chromium","2026-08-30","passed","2026-08-30","","checkout.spec.ts","",""
"","2852","Verify search with product - macbook and MacBook Pro","chromium","2026-08-30","passed","2026-08-30","","searchpage.spec.ts","",""
"","2788","@sanity Registration test with csv - John Doe60","chromium","2026-08-30","passed","2026-08-30","","registration.spec.ts","",""
"","1745","Login page title test","chromium","2026-08-30","passed","2026-08-30","","loginpage.spec.ts","",""
"","2874","@sanity Registration test with csv - John Doe59","chromium","2026-08-30","passed","2026-08-30","","registration.spec.ts","",""
"","2","Home page title test","chromium","2026-08-30","skipped","2026-08-30","","homepage.spec.ts","",""
"","1666","Login page title test","chromium","2026-08-30","passed","2026-08-30","","loginpagefix.spec.ts","",""
"","4729","Verify add to cart functionality","chromium","2026-08-30","passed","2026-08-30","","productpage.spec.ts","",""
"","2919","Verify search with product - macbook and MacBook Air","chromium","2026-08-30","passed","2026-08-30","","searchpage.spec.ts","",""
"","2456","Logout link visibility test","chromium","2026-08-30","passed","2026-08-30","","homepagefix.spec.ts","",""
"","0","do login into web application test","chromium","2026-08-30","skipped","2026-08-30","","loginpage.spec.ts","",""
"","2892","Verify search with product - imac and iMac","chromium","2026-08-30","passed","2026-08-30","","searchpage.spec.ts","",""
"","2322","@sanity Invalid login test with - and 32423","chromium","2026-08-30","passed","2026-08-30","","loginpagefix.spec.ts","",""
"","2713","Company logo exist or not","chromium","2026-08-30","passed","2026-08-30","","productpage.spec.ts","",""
"","2207","@sanity Invalid login test with - abc@gmail.com and 13234","chromium","2026-08-30","passed","2026-08-30","","loginpagefix.spec.ts","",""
"","3761","Verify product information","chromium","2026-08-30","passed","2026-08-30","","productpage.spec.ts","",""
"","3606","Verify user is able to land on Product page imac and iMac","chromium","2026-08-30","passed","2026-08-30","","searchpage.spec.ts","",""
"","2631","Footers exist or not","chromium","2026-08-30","passed","2026-08-30","","productpage.spec.ts","",""
"","1821","Forgot Password link visibility test","chromium","2026-08-30","passed","2026-08-30","","loginpagefix.spec.ts","",""
"","3794","Verify user is able to land on Product page macbook and MacBook Air","chromium","2026-08-30","passed","2026-08-30","","searchpage.spec.ts","",""
"","1784","TC10","chromium","2026-08-30","passed","2026-08-30","Serial Tests","loginpagefix.spec.ts","",""
"","1886","Forgot Password link visibility test","chromium","2026-08-30","passed","2026-08-30","","loginpage.spec.ts","",""
