"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6607","Verify product information","chromium","2026-09-11","passed","2026-09-11","","productpage.spec.ts","",""
"","7634","Verify add to cart functionality","chromium","2026-09-11","passed","2026-09-11","","productpage.spec.ts","",""
"","3616","@sanity Registration test with csv - John Doe60","chromium","2026-09-11","passed","2026-09-11","","registration.spec.ts","",""
"","3180","Headers count test","chromium","2026-09-11","passed","2026-09-11","","homepage.spec.ts","",""
"","1787","Login page title test","chromium","2026-09-11","passed","2026-09-11","","loginpagefix.spec.ts","",""
"","4623","@sanity Registration test with csv - John Doe58","chromium","2026-09-11","passed","2026-09-11","","registration.spec.ts","",""
"","0","do login into web application test","chromium","2026-09-11","skipped","2026-09-11","","loginpage.spec.ts","",""
"","2033","TC9","chromium","2026-09-11","passed","2026-09-11","Serial Tests","loginpagefix.spec.ts","",""
"","6035","Verify the checkout of selected product","chromium","2026-09-11","passed","2026-09-11","","checkout.spec.ts","",""
"","3384","Registration page title test","chromium","2026-09-11","passed","2026-09-11","","registration.spec.ts","",""
"","4672","Verify search with product - macbook and MacBook Air","chromium","2026-09-11","passed","2026-09-11","","searchpage.spec.ts","",""
"","3474","Logout link visibility test","chromium","2026-09-11","passed","2026-09-11","","homepagefix.spec.ts","",""
"","4086","@sanity Registration test with csv - John Doe59","chromium","2026-09-11","passed","2026-09-11","","registration.spec.ts","",""
"","4448","Verify search with product - macbook and MacBook Pro","chromium","2026-09-11","passed","2026-09-11","","searchpage.spec.ts","",""
"","2135","Forgot Password link visibility test","chromium","2026-09-11","passed","2026-09-11","","loginpagefix.spec.ts","",""
"","2","Home page title test","chromium","2026-09-11","skipped","2026-09-11","","homepage.spec.ts","",""
"","2654","@sanity Invalid login test with - and 32423","chromium","2026-09-11","passed","2026-09-11","","loginpagefix.spec.ts","",""
"","4479","Verify user is able to land on Product page macbook and MacBook Air","chromium","2026-09-11","passed","2026-09-11","","searchpage.spec.ts","",""
"","4574","Verify user is able to land on Product page macbook and MacBook Pro","chromium","2026-09-11","passed","2026-09-11","","searchpage.spec.ts","",""
"","3374","Company logo exist or not","chromium","2026-09-11","passed","2026-09-11","","productpage.spec.ts","",""
"","3109","@smoke Headers count test","chromium","2026-09-11","passed","2026-09-11","","homepagefix.spec.ts","",""
"","4174","Verify search with product - imac and iMac","chromium","2026-09-11","passed","2026-09-11","","searchpage.spec.ts","",""
"","1994","TC10","chromium","2026-09-11","passed","2026-09-11","Serial Tests","loginpagefix.spec.ts","",""
"","2502","Login page title test","chromium","2026-09-11","passed","2026-09-11","","loginpage.spec.ts","",""
"","5024","Verify product images count","chromium","2026-09-11","passed","2026-09-11","","productpage.spec.ts","",""
"","4864","Verify user is able to land on Product page imac and iMac","chromium","2026-09-11","passed","2026-09-11","","searchpage.spec.ts","",""
"","3543","@smoke do login into web application test","chromium","2026-09-11","passed","2026-09-11","","loginpagefix.spec.ts","",""
"","2914","Logout link visibility test","chromium","2026-09-11","passed","2026-09-11","","homepage.spec.ts","",""
"","3000","Home page title test","chromium","2026-09-11","passed","2026-09-11","","homepagefix.spec.ts","",""
"","2899","@sanity Invalid login test with - abc@gmail.com and 13234","chromium","2026-09-11","passed","2026-09-11","","loginpagefix.spec.ts","",""
"","2795","@sanity Invalid login test with - xyz@gmail.com and","chromium","2026-09-11","passed","2026-09-11","","loginpagefix.spec.ts","",""
"","4329","Footers exist or not","chromium","2026-09-11","passed","2026-09-11","","productpage.spec.ts","",""
"","2197","Forgot Password link visibility test","chromium","2026-09-11","passed","2026-09-11","","loginpage.spec.ts","",""
